State,HighQ,HighQN,MedQ,MedQN,LowQ,LowQN,date
Illinois,356.64999999999998,4640,285.95999999999998,4257,189.38,383,2014-05-01
Indiana,334.97000000000003,1945,210.34999999999999,1735,156.72999999999999,277,2014-05-01
Iowa,368.87,795,290.19,779,247.09999999999999,110,2014-05-01
Kansas,350.31,962,261.91000000000003,770,118.41,121,2014-05-01
Kentucky,339.08999999999997,1194,182.37,1169,124.69,155,2014-05-01
Louisiana,370.67000000000002,1244,244.38,1044,146.06,265,2014-05-01
Maine,317.35000000000002,517,257.94999999999999,510,274.25,58,2014-05-01
Montana,268.22000000000003,639,251.87,309,645.60000000000002,26,2014-05-01
Nebraska,344.10000000000002,591,250.96000000000001,581,138.34999999999999,69,2014-05-01
Nevada,268.25999999999999,1029,227.36000000000001,1105,243.46000000000001,66,2014-05-01
New Hampshire,359.58999999999997,488,291.36000000000001,522,677.38,41,2014-05-01
New Jersey,351.63999999999999,2538,290.80000000000001,3285,231.38999999999999,218,2014-05-01
New Mexico,290.88,641,200.99000000000001,516,87.840000000000003,50,2014-05-01
New York,349,6544,266.60000000000002,6819,205.21000000000001,529,2014-05-01
North Carolina,352.38,3284,244.03999999999999,2301,151.00999999999999,255,2014-05-01
North Dakota,391.23000000000002,169,350.38999999999999,245,334.13,18,2014-05-01
Ohio,336.14999999999998,3516,216.38999999999999,3385,164.19999999999999,452,2014-05-01
Oklahoma,366.06,870,234.97999999999999,821,120.06,156,2014-05-01
Oregon,210.12,1816,185.72999999999999,1551,165.81,76,2014-05-01
Maryland,374.62,2296,250.55000000000001,1856,188.84,169,2014-05-01
Massachusetts,350.75999999999999,3294,293.99000000000001,2896,219.16,244,2014-05-01
Michigan,295.19999999999999,3400,277.57999999999998,2949,275.43000000000001,252,2014-05-01
Minnesota,367.61000000000001,1980,276.61000000000001,1875,183.44999999999999,108,2014-05-01
Mississippi,341.5,487,145.40000000000001,423,140.56999999999999,120,2014-05-01
Missouri,368.41000000000003,1823,243.50999999999999,1581,142.19,240,2014-05-01
Pennsylvania,368.32999999999998,4489,267.5,3853,196.36000000000001,424,2014-05-01
Rhode Island,329.98000000000002,592,258.55000000000001,417,208.36000000000001,35,2014-05-01
South Carolina,343.27999999999997,1355,201.47999999999999,1077,186.91,139,2014-05-01
South Dakota,387.60000000000002,179,355.63,200,123.94,22,2014-05-01
Tennessee,355.45999999999998,1820,224.94999999999999,1472,187.46000000000001,176,2014-05-01
Texas,339.48000000000002,6901,234.16,6791,143.05000000000001,984,2014-05-01
Utah,290.18000000000001,789,240.16999999999999,822,204.75999999999999,51,2014-05-01
Vermont,376.44,314,320.95999999999998,273,190.36000000000001,26,2014-05-01
Virginia,370.43000000000001,2838,288.22000000000003,2355,222.83000000000001,240,2014-05-01
Washington,233.36000000000001,2675,190.41,2743,141.86000000000001,123,2014-05-01
West Virginia,354.77999999999997,443,214.47999999999999,432,156.09999999999999,48,2014-05-01
Wisconsin,355.12,1852,271.95999999999998,1652,239.46000000000001,143,2014-05-01
Wyoming,349.94999999999999,107,359.98000000000002,155,161.30000000000001,11,2014-05-01
Alabama,340.51999999999998,1301,204.38,1174,144.03999999999999,148,2014-06-01
Alaska,286.08999999999997,307,253.31,372,359.87,30,2014-06-01
Arizona,302.29000000000002,2271,208.81999999999999,1994,187.18000000000001,270,2014-06-01
Arkansas,350.20999999999998,701,184.88999999999999,662,127.16,130,2014-06-01
California,245.71000000000001,14178,192.27000000000001,15588,190.06,930,2014-06-01
Colorado,236.90000000000001,2662,196.47,2253,231.56,158,2014-06-01
Connecticut,343.81,1508,273.11000000000001,1613,251.03,100,2014-06-01
Delaware,368.97000000000003,410,225.16999999999999,335,204.86000000000001,39,2014-06-01
District of Columbia,346.85000000000002,527,291.01999999999998,443,209.83000000000001,47,2014-06-01
Florida,303.16000000000003,7979,217.93000000000001,6590,152.18000000000001,603,2014-06-01
Georgia,327.17000000000002,3730,214.91,2802,144.77000000000001,266,2014-06-01
Hawaii,313.33999999999997,383,276.22000000000003,433,165.55000000000001,28,2014-06-01
Idaho,275.69999999999999,367,251.25,540,136.88999999999999,28,2014-06-01
Illinois,356.17000000000002,4748,285.11000000000001,4406,190.37,394,2014-06-01
Indiana,333.55000000000001,2000,210.49000000000001,1818,156.38,281,2014-06-01
Iowa,367.37,817,288.66000000000003,806,247.09999999999999,110,2014-06-01
Kansas,349.80000000000001,987,260.05000000000001,791,120.31,125,2014-06-01
Kentucky,339.39999999999998,1230,182.96000000000001,1215,124.92,158,2014-06-01
Louisiana,367.56,1285,244.38,1087,144.40000000000001,274,2014-06-01
Maine,317.82999999999998,528,257.13999999999999,526,274.25,58,2014-06-01
Montana,268,652,251.91,315,632.30999999999995,27,2014-06-01
Nebraska,343.86000000000001,603,250.55000000000001,601,134.87,72,2014-06-01
Nevada,268.16000000000003,1052,229.80000000000001,1154,238.93000000000001,69,2014-06-01
New Hampshire,359.42000000000002,501,291.76999999999998,535,657.98000000000002,43,2014-06-01
New Jersey,350.89999999999998,2596,289.74000000000001,3374,224.74000000000001,222,2014-06-01
New Mexico,290.23000000000002,656,201.59999999999999,533,85.810000000000002,52,2014-06-01
New York,347.79000000000002,6693,266.20999999999998,7062,205.69,539,2014-06-01
North Carolina,350.82999999999998,3394,245.19,2398,152.34999999999999,263,2014-06-01
North Dakota,400.69,177,362.38,252,348.89999999999998,19,2014-06-01
Ohio,335.88999999999999,3598,216.40000000000001,3492,162.88999999999999,467,2014-06-01
Oklahoma,366.05000000000001,893,233.90000000000001,847,118.70999999999999,160,2014-06-01
Oregon,209.53999999999999,1858,185.16999999999999,1606,163.84,77,2014-06-01
Maryland,372.43000000000001,2363,250.53999999999999,1941,187.16999999999999,174,2014-06-01
Massachusetts,350.74000000000001,3396,293.25,2992,218.75999999999999,248,2014-06-01
Michigan,294.70999999999998,3489,277.31999999999999,3042,273.42000000000002,257,2014-06-01
Minnesota,366.38,2029,277.99000000000001,1951,181.83000000000001,109,2014-06-01
Mississippi,337.81,511,145.68000000000001,445,146.81999999999999,123,2014-06-01
Missouri,363.39999999999998,1876,244.16,1652,143.53,260,2014-06-01
Pennsylvania,367.25999999999999,4614,266.94,3992,193.81999999999999,434,2014-06-01
Rhode Island,328.47000000000003,612,256.61000000000001,430,203.71000000000001,38,2014-06-01
South Carolina,343.88,1391,201.44999999999999,1119,189.58000000000001,142,2014-06-01
South Dakota,383.04000000000002,185,351.00999999999999,208,123.94,22,2014-06-01
Tennessee,354.50999999999999,1878,225.25,1525,187.46000000000001,176,2014-06-01
Texas,338.36000000000001,7072,233.41999999999999,7004,142.93000000000001,1012,2014-06-01
Utah,289.26999999999998,807,239.13999999999999,853,208.27000000000001,55,2014-06-01
Vermont,376.94,316,321.19999999999999,283,190.36000000000001,26,2014-06-01
Virginia,369.44999999999999,2924,288.04000000000002,2454,222.77000000000001,243,2014-06-01
Washington,232.59999999999999,2740,190.09,2834,141.84,129,2014-06-01
West Virginia,355.22000000000003,462,215.59,442,155.80000000000001,49,2014-06-01
Wisconsin,354.58999999999997,1897,271.81,1715,237.56,145,2014-06-01
Wyoming,350.72000000000003,108,359.79000000000002,158,161.30000000000001,11,2014-06-01
Alabama,340.83999999999997,1337,203.63,1196,147.56999999999999,154,2014-07-01
Alaska,288.79000000000002,316,261.18000000000001,386,407.31,32,2014-07-01
Arizona,300.57999999999998,2321,209.16999999999999,2054,185.63999999999999,275,2014-07-01
Arkansas,349.29000000000002,727,183.49000000000001,692,126.2,134,2014-07-01
California,245.38999999999999,14539,191.94,16092,188.56999999999999,949,2014-07-01
Colorado,238.09,2734,196.5,2320,230.11000000000001,160,2014-07-01
Connecticut,343.38,1542,271.55000000000001,1672,254.19,104,2014-07-01
Delaware,367.66000000000003,426,227.21000000000001,354,204.86000000000001,39,2014-07-01
District of Columbia,345.75,550,290.12,461,209.83000000000001,47,2014-07-01
Florida,302.48000000000002,8192,217.74000000000001,6801,152.00999999999999,617,2014-07-01
Georgia,326.91000000000003,3846,215.62,2896,146.72999999999999,272,2014-07-01
Hawaii,312.12,391,274.99000000000001,446,165.55000000000001,28,2014-07-01
Idaho,276.82999999999998,380,251.49000000000001,563,136.88999999999999,28,2014-07-01
Illinois,355.81999999999999,4870,283.47000000000003,4537,190.65000000000001,402,2014-07-01
Indiana,333.04000000000002,2061,210.28,1877,155.97999999999999,288,2014-07-01
Iowa,366.98000000000002,840,289.42000000000002,841,246.40000000000001,111,2014-07-01
Kansas,350.11000000000001,1005,260.69999999999999,822,122.62,127,2014-07-01
Kentucky,338.06,1269,173.34999999999999,1256,123.41,161,2014-07-01
Louisiana,366.92000000000002,1325,245.24000000000001,1125,143.37,280,2014-07-01
Maine,317.45999999999998,536,246.16999999999999,551,272.94999999999999,59,2014-07-01
Montana,267.42000000000002,667,251.00999999999999,319,609.45000000000005,28,2014-07-01
Nebraska,343.30000000000001,615,250.53,611,133.37,73,2014-07-01
Nevada,267.86000000000001,1075,229.05000000000001,1191,234.33000000000001,73,2014-07-01
New Hampshire,358.5,516,290.01999999999998,554,643,44,2014-07-01
New Jersey,349.83999999999997,2656,288.33999999999997,3495,223.83000000000001,225,2014-07-01
New Mexico,290.38999999999999,673,201.78,547,96.930000000000007,56,2014-07-01
New York,347.01999999999998,6837,265.82999999999998,7292,209.44,554,2014-07-01
North Carolina,350.20999999999998,3487,244.96000000000001,2484,149.37,272,2014-07-01
North Dakota,398.94999999999999,179,363.10000000000002,261,335.80000000000001,20,2014-07-01
Ohio,335.43000000000001,3687,216.90000000000001,3618,162.27000000000001,480,2014-07-01
Oklahoma,365.31999999999999,917,232.09,890,118.22,163,2014-07-01
Oregon,208.84999999999999,1900,184.86000000000001,1641,175.53,80,2014-07-01
Maryland,371.44,2440,250.80000000000001,2002,187.53,178,2014-07-01
Massachusetts,350.56999999999999,3500,292.92000000000002,3101,223.24000000000001,253,2014-07-01
Michigan,293.07999999999998,3569,276.50999999999999,3164,270.60000000000002,262,2014-07-01
Minnesota,358.82999999999998,2073,278.19999999999999,2014,181.19999999999999,110,2014-07-01
Mississippi,335.63999999999999,526,145.88,453,148.49000000000001,124,2014-07-01
Missouri,356.92000000000002,1924,244.08000000000001,1732,146.19,265,2014-07-01
Pennsylvania,366.81999999999999,4754,266.83999999999997,4128,192.02000000000001,440,2014-07-01
Rhode Island,324.61000000000001,625,256.10000000000002,446,199.96000000000001,39,2014-07-01
South Carolina,343.23000000000002,1426,202.03999999999999,1156,188.56,145,2014-07-01
