"Date_received","Submitted_via","count"
"04/22/2019","Web",450
"06/19/2016","Web",136
"05/26/2012","Phone",1
"05/26/2012","Referral",1
"05/26/2012","Web",33
"04/07/2013","Web",89
"08/05/2019","Postal mail",15
"08/05/2019","Fax",29
"08/05/2019","Web",771
"08/05/2019","Referral",72
"08/05/2019","Phone",69
"02/19/2012","Web",16
"02/19/2012","Referral",6
"08/19/2012","Referral",1
"08/19/2012","Web",36
"06/03/2012","Referral",7
"06/03/2012","Web",21
"04/30/2012","Fax",2
"04/30/2012","Postal mail",7
"04/30/2012","Phone",41
"04/30/2012","Web",106
"04/30/2012","Referral",83
"11/15/2019","Postal mail",1
"11/15/2019","Referral",6
"11/15/2019","Phone",6
"11/15/2019","Web",40
"11/03/2013","Referral",2
"11/03/2013","Web",79
"07/19/2019","Fax",6
"07/19/2019","Postal mail",6
"07/19/2019","Referral",51
"07/19/2019","Phone",59
"07/19/2019","Web",675
"03/17/2012","Referral",1
"03/17/2012","Web",38
"03/04/2012","Web",58
"08/23/2019","Fax",1
"08/23/2019","Postal mail",10
"08/23/2019","Phone",75
"08/23/2019","Referral",74
"08/23/2019","Web",712
"11/10/2019","Web",112
"10/19/2013","Phone",2
"10/19/2013","Web",134
"12/30/2018","Web",239
"06/13/2015","Web",158
"07/29/2012","Web",37
"09/14/2013","Phone",1
"09/14/2013","Web",108
"12/29/2011","Postal mail",1
"12/29/2011","Email",1
"12/29/2011","Phone",5
"12/29/2011","Web",37
"12/29/2011","Referral",40
"11/28/2013","Postal mail",3
"11/28/2013","Referral",29
"11/28/2013","Web",60
"08/18/2012","Web",45
"08/29/2015","Web",185
"03/31/2013","Web",49
"12/30/2012","Phone",1
"12/30/2012","Web",47
"12/28/2013","Referral",1
"12/28/2013","Fax",1
"12/28/2013","Web",129
"02/25/2012","Phone",1
"02/25/2012","Postal mail",1
"02/25/2012","Web",39
"02/14/2012","Email",1
"02/14/2012","Phone",12
"02/14/2012","Postal mail",6
"02/14/2012","Referral",41
"02/14/2012","Web",77
"08/26/2017","Phone",3
"08/26/2017","Referral",1
"08/26/2017","Web",254
"07/07/2013","Referral",1
"07/07/2013","Web",56
"03/24/2019","Web",315
"06/16/2013","Referral",1
"06/16/2013","Web",89
"10/14/2013","Web",133
"10/13/2013","Web",46
"04/18/2015","Referral",1
"04/18/2015","Web",164
"04/06/2013","Web",66
"11/04/2012","Web",74
"05/22/2012","Fax",1
"05/22/2012","Postal mail",13
"05/22/2012","Phone",34
"05/22/2012","Referral",88
"05/22/2012","Web",66
"06/25/2019","Fax",7
"06/25/2019","Postal mail",33
"06/25/2019","Phone",62
"06/25/2019","Web",847
"06/25/2019","Referral",89
"12/11/2011","Referral",1
"12/11/2011","Web",58
"04/12/2019","Fax",7
"04/12/2019","Phone",64
"04/12/2019","Postal mail",13
"04/12/2019","Referral",68
"04/12/2019","Web",688
"05/11/2019","Referral",44
"05/11/2019","Postal mail",81
"05/11/2019","Web",425
"10/14/2012","Web",63
"01/09/2016","Phone",2
"01/09/2016","Web",208
"07/04/2015","Web",124
"01/29/2012","Referral",1
"01/29/2012","Web",25
"04/19/2014","Referral",2
"04/19/2014","Web",55
"03/23/2013","Phone",1
"03/23/2013","Web",81
"03/30/2014","Referral",1
"03/30/2014","Web",139
"06/10/2012","Web",31
"06/07/2015","Web",110
"06/15/2014","Web",98
"07/12/2019","Fax",21
"07/12/2019","Phone",70
"07/12/2019","Postal mail",15
"07/12/2019","Web",743
"07/12/2019","Referral",76
"06/16/2019","Web",386
"08/03/2013","Phone",1
"08/03/2013","Fax",4
"08/03/2013","Postal mail",19
"08/03/2013","Referral",27
"08/03/2013","Web",97
"12/31/2011","Postal mail",1
"12/31/2011","Referral",1
"12/31/2011","Web",23
"07/05/2015","Web",112
"07/07/2012","Referral",1
"07/07/2012","Web",46
"07/07/2012","Phone",2
"10/06/2013","Web",75
"02/24/2013","Web",51
"03/02/2013","Phone",3
"03/02/2013","Web",72
"06/20/2015","Web",202
"02/17/2014","Web",262
"11/23/2014","Web",133
"11/05/2016","Web",205
"01/21/2013","Web",97
"09/18/2012","Email",1
"09/18/2012","Phone",20
"09/18/2012","Fax",6
"09/18/2012","Postal mail",30
"09/18/2012","Referral",107
"09/18/2012","Web",135
"07/26/2014","Phone",1
"07/26/2014","Web",177
"11/30/2014","Web",110
"04/22/2012","Web",39
"09/01/2018","Web",267
"09/01/2018","Referral",1
"12/20/2014","Phone",1
"12/20/2014","Referral",1
"12/20/2014","Web",156
"01/30/2012","Email",3
"01/30/2012","Postal mail",5
"01/30/2012","Web",79
"01/30/2012","Referral",44
"01/30/2012","Phone",5
"11/12/2012","Web",90
"11/12/2012","Referral",7
"05/04/2014","Web",116
"08/17/2014","Web",117
"10/07/2012","Web",43
"10/07/2012","Referral",42
"08/16/2019","Fax",6
"08/16/2019","Postal mail",50
"08/16/2019","Phone",55
"08/16/2019","Referral",64
"08/16/2019","Web",809
"12/01/2013","Referral",1
"12/01/2013","Web",86
